Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7684,14737,22421
February 28 2017,7885,15205,23090
March 31 2017,8091,15595,23686
April 30 2017,8285,16103,24388
May 31 2017,8498,16568,25066
June 30 2017,8752,16985,25737
July 31 2017,8931,17378,26309
August 31 2017,9147,17677,26824
September 30 2017,9373,18077,27450
October 31 2017,9648,18522,28170
November 30 2017,9887,18875,28762
December 31 2017,10119,19184,29303
January 31 2018,10532,19731,30263
February 28 2018,10831,19975,30806
March 31 2018,11179,20392,31571
April 30 2018,11514,20923,32437
May 31 2018,11933,21700,33633
June 30 2018,12356,22432,34788
July 31 2018,12649,22982,35631
August 31 2018,12962,23575,36537
September 30 2018,13291,24160,37451
October 31 2018,13641,25517,39158
November 30 2018,14021,26780,40801
December 31 2018,14344,27722,42066
January 31 2019,14729,29112,43841
February 28 2019,14895,29689,44584
March 31 2019,15044,30030,45074
April 30 2019,15299,31051,46350
May 31 2019,15566,31748,47314
June 30 2019,15814,32579,48393
July 31 2019,16076,33561,49637
August 31 2019,16280,34310,50590
September 30 2019,16513,35078,51591
October 31 2019,16794,36652,53446
November 30 2019,16969,37104,54073
December 31 2019,17133,37756,54889
January 31 2020,17354,39787,57141
February 29 2020,17465,40269,57734
March 31 2020,17600,41002,58602
April 30 2020,17556,41349,58905
May 31 2020,17569,41340,58909
June 30 2020,17670,41603,59273
July 31 2020,17801,43004,60805
August 31 2020,17945,43602,61547
September 30 2020,18150,44173,62323
October 31 2020,18404,45192,63596
November 30 2020,18571,46551,65122
December 31 2020,18856,47350,66206
January 31 2021,19181,48920,68101
February 28 2021,19463,49787,69250
March 31 2021,19816,50612,70428
April 30 2021,20269,52476,72745
May 31 2021,20666,53722,74388
June 30 2021,21252,54841,76093
July 31 2021,21645,56889,78534
August 31 2021,22055,58413,80468
September 30 2021,22382,59609,81991
October 31 2021,22788,61334,84122
November 30 2021,23197,62972,86169
December 31 2021,23476,64473,87949
January 31 2022,23804,66064,89868
February 28 2022,24101,67669,91770
March 31 2022,24547,69268,93815
April 30 2022,24901,71675,96576
May 31 2022,25347,73054,98401
June 30 2022,25834,74711,100545
July 31 2022,26118,77139,103257
August 31 2022,26545,79390,105935
September 30 2022,26835,80711,107546
October 31 2022,27088,83832,110920
November 30 2022,27263,86926,114189
December 31 2022,27380,88720,116100
January 31 2023,27497,91462,118959
